Nr;Liste;Valenz;Subliste;Subnumber;Adjektiv;AdjerlaubteZeichen
1;1;-1;1;1;pessimistisch;pessimistisch
2;1;-1;1;2;behindert;behindert
3;1;-1;1;3;deformiert;deformiert
4;1;-1;1;4;schlecht;schlecht
5;1;-1;1;5;asozial;asozial
6;1;1;1;6;ehrlich;ehrlich
7;1;1;1;7;aufmerksam;aufmerksam
8;1;1;1;8;couragiert;couragiert
9;1;1;1;9;gut;gut
10;1;1;1;10;ausgeruht;ausgeruht
11;1;0;1;11;durchschnittlich;durchschnittlich
12;1;0;1;12;bedacht;bedacht
13;1;0;1;13;introvertiert;introvertiert
14;1;0;1;14;theatralisch;theatralisch
15;1;0;1;15;winzig;winzig
16;1;-1;2;16;undankbar;undankbar
17;1;-1;2;17;dumm;dumm
18;1;-1;2;18;entstellt;entstellt
19;1;-1;2;19;krank;krank
20;1;-1;2;20;unfreundlich;unfreundlich
21;1;1;2;21;loyal;loyal
22;1;1;2;22;intellektuell;intellektuell
23;1;1;2;23;mutig;mutig
24;1;1;2;24;hoffnungsvoll;hoffnungsvoll
25;1;1;2;25;gemütlich;gemuetlich
26;1;0;2;26;beschaulich;beschaulich
27;1;0;2;27;still;still
28;1;0;2;28;ruhig;ruhig
29;1;0;2;29;unüblich;unueblich
30;1;0;2;30;klein;klein
31;1;-1;3;31;wertlos;wertlos
32;1;-1;3;32;inkompetent;inkompetent
33;1;-1;3;33;hässlich;haesslich
34;1;-1;3;34;ungesund;ungesund
35;1;-1;3;35;unsympathisch;unsympathisch
36;1;1;3;36;zuverlässig;zuverlaessig
37;1;1;3;37;klug;klug
38;1;1;3;38;fortschrittlich;fortschrittlich
39;1;1;3;39;optimistisch;optimistisch
40;1;1;3;40;zärtlich;zaertlich
41;1;0;3;41;simpel;simpel
42;1;0;3;42;zahm;zahm
43;1;0;3;43;schüchtern;schuechtern
44;1;0;3;44;unvorhersehbar;unvorhersehbar
45;1;0;3;45;kurz;kurz
46;2;-1;1;1;depressiv;depressiv
47;2;-1;1;2;feindselig;feindselig
48;2;-1;1;3;diktatorisch;diktatorisch
49;2;-1;1;4;schmerzhaft;schmerzhaft
50;2;-1;1;5;ängstlich;aengstlich
51;2;1;1;6;bildschön;bildschoen
52;2;1;1;7;verehrt;verehrt
53;2;1;1;8;brilliant;brilliant
54;2;1;1;9;aufgeweckt;aufgeweckt
55;2;1;1;10;charmant;charmant
56;2;0;1;11;eigenwillig;eigenwillig
57;2;0;1;12;fromm;fromm
58;2;0;1;13;emotional;emotional
59;2;0;1;14;selbstzufrieden;selbstzufrieden
60;2;0;1;15;besorgt;besorgt
61;2;-1;2;16;leidend;leidend
62;2;-1;2;17;hasserfüllt;hasserfuellt
63;2;-1;2;18;egoistisch;egoistisch
64;2;-1;2;19;verletzt;verletzt
65;2;-1;2;20;unsicher;unsicher
66;2;1;2;21;fröhlich;froehlich
67;2;1;2;22;geliebt;geliebt
68;2;1;2;23;intelligent;intelligent
69;2;1;2;24;enthusiastisch;enthusiastisch
70;2;1;2;25;freundlich;freundlich
71;2;0;2;26;individualistisch;individualistisch
72;2;0;2;27;bereitwillig;bereitwillig
73;2;0;2;28;impulsiv;impulsiv
74;2;0;2;29;stolz;stolz
75;2;0;2;30;eigensinnig;eigensinnig
76;2;-1;3;31;unglücklich;ungluecklich
77;2;-1;3;32;lieblos;lieblos
78;2;-1;3;33;herzlos;herzlos
79;2;-1;3;34;frustriert;frustriert
80;2;-1;3;35;wütend;wuetend
81;2;1;3;36;wundervoll;wundervoll
82;2;1;3;37;glücklich;gluecklich
83;2;1;3;38;talentiert;talentiert
84;2;1;3;39;leidenschaftlich;leidenschaftlich
85;2;1;3;40;warmherzig;warmherzig
86;2;0;3;41;unkonventionell;unkonventionell
87;2;0;3;42;religiös;religioes
88;2;0;3;43;heftig;heftig
89;2;0;3;44;unbeirrbar;unbeirrbar
90;2;0;3;45;opportunistisch;opportunistisch