subj_counter_global,PreNegRe,PreNegRT,PreNeuRe,PreNeuRT,PrePosRe,PrePosRT,PasNegRe,PasNegRT,PasNeuRe,PasNeuRT,PasPosRe,PasPosRT,OthNegRe,OthNegRT,OthNeuRe,OthNeuRT,OthPosRe,OthPosRT
209,3,3872.16666666667,3.25,2749.75,3.8,3537,3.4,4437,2.75,3926.5,1.66666666666667,4055.66666666667,3.25,4029.75,3.28571428571429,2627.85714285714,2.75,3926.75
210,2.75,3098.5,3.66666666666667,4783.33333333333,3.8,3244.8,1.83333333333333,3772.83333333333,3.75,3118.5,4.4,3246,2.6,4371.4,2.4,2086.4,3.4,1847.8
211,3.33333333333333,4217.33333333333,3.83333333333333,3245,4,2970,4,3664.8,2.2,4775.8,2,4148.4,1.14285714285714,2804,3,2448.5,3.75,2668.25
212,1.33333333333333,3569.33333333333,2.5,5585.33333333333,3.66666666666667,4519.33333333333,1.42857142857143,8156.71428571429,2.33333333333333,6972.66666666667,4,2856.6,1,6125,2.33333333333333,4901.16666666667,3.57142857142857,2460.71428571429
213,2,3983.5,3.4,5007.4,4,2765.5,1.75,4407,3.75,3561.5,3.71428571428571,2955.14285714286,1.8,3979.8,3,4278.33333333333,3.75,2583.5
215,2,3891,3.125,3037.375,4,2391.6,2.5,2034.5,2.75,3324.25,4,3214.71428571429,1.88888888888889,3156,2.66666666666667,3027.66666666667,4,2751.66666666667
218,1.75,6348.5,2.11111111111111,4737.11111111111,5,3229,2.66666666666667,5627.66666666667,2.33333333333333,3753.33333333333,3.16666666666667,5009.83333333333,1.4,4525.6,3,2531,3.57142857142857,3567.71428571429
219,1,3082.375,1.5,2595,3.8,2805.4,1.2,2823.6,1.83333333333333,4262.5,3.5,3658.75,2.5,3381.5,2.28571428571429,4891.57142857143,3.5,3983.83333333333
220,1.75,3403.25,3,3813.57142857143,3.75,2739.25,3.25,4953.25,2.5,3434,2.57142857142857,5457.42857142857,2.42857142857143,3721.71428571429,3.75,2103.5,3.25,3293.25
221,1.33333333333333,11214.6666666667,3,5600.14285714286,3.2,6867.2,2.33333333333333,6656.16666666667,1.66666666666667,6549.66666666667,2.33333333333333,5498,1.83333333333333,7244.83333333333,3.5,5639.5,4.28571428571429,4588.28571428571
223,1.33333333333333,6221.33333333333,2,11825,2.83333333333333,12508.8333333333,3,6040.66666666667,2.5,5793.5,2.6,7203,1.5,3990.83333333333,3.2,4973.2,4,3416
225,1.75,2007.5,3.33333333333333,1649.66666666667,3.75,1465.875,3,2498.8,3.28571428571429,1796.14285714286,3.33333333333333,1648,2,1751.5,2.2,1911,3.75,1797.75
227,3.42857142857143,9683.71428571429,2.8,4934,2.33333333333333,8156.33333333333,1.75,5176.75,3.66666666666667,2659.33333333333,3.125,8285.375,2.25,3092.5,2.85714285714286,10800.2857142857,4,2342
228,1.25,5364.25,3,6349.28571428571,4.25,5713.5,1.66666666666667,8799.33333333333,2.5,6500,3.8,4481.4,1,4035.6,2.5,5404.25,3.66666666666667,5953.5
229,1.75,2678.25,3.625,3284,4.33333333333333,2299.66666666667,3.14285714285714,4333.57142857143,2.33333333333333,4555.66666666667,3,4037.4,2,4996.25,3,2977.75,4.57142857142857,2778.28571428571
230,1,3020.71428571429,2.5,2870,3.5,3557.5,2.83333333333333,3397.83333333333,4,3234.33333333333,4,2718.66666666667,2,2970,2.85714285714286,3311.57142857143,3.5,2410.5
231,2,3882.42857142857,3.33333333333333,3319.66666666667,4.2,3117.6,3,3621.66666666667,2.375,3037.375,3.25,2733.5,2.2,3643.2,2,3135.75,3.5,3104.33333333333
232,1.71428571428571,12978.7142857143,2,11839.6666666667,3.6,8568.2,2.66666666666667,10213,4,6737.66666666667,3.83333333333333,6253.83333333333,1.6,13107.6,2.33333333333333,5861,3.75,7000.5
235,1.25,1920.75,2.8,2437.8,4.33333333333333,1901.16666666667,2,2719.125,2.5,2571.75,2.33333333333333,2036.33333333333,1.66666666666667,2740,3,4548.66666666667,4.83333333333333,2152.16666666667
237,2.14285714285714,4903.85714285714,3.4,3660,3.66666666666667,5312,1.25,3336.75,2,3173,2.42857142857143,4841.57142857143,2,14736.5,2.16666666666667,5661.5,4,3984.2
239,1.16666666666667,11140,2.6,15858,4.5,17074,1,5970.5,1.66666666666667,10130,4.25,10597.625,2,12046,2.57142857142857,6756.28571428571,3.33333333333333,6429.33333333333
243,1,3291.75,1.83333333333333,3734.66666666667,4,4880.6,1.85714285714286,3504.42857142857,1.66666666666667,4925,2.2,5331.4,2,4617.75,1.5,3153.83333333333,3.2,3148.6
247,2,2194.33333333333,2.8,2171.8,4.14285714285714,1906,3.5,3053.16666666667,2.66666666666667,2910.5,3.33333333333333,1965,1.66666666666667,2037.5,3.75,3719.75,5,2616
255,2.16666666666667,4004.5,4.66666666666667,4514.66666666667,4.33333333333333,9684.33333333333,1.57142857142857,7287.14285714286,3.25,4319.25,3.25,4676.75,2.5,3300,3.4,2647.4,3.75,3316
258,1,3968,2.375,3308.625,4.25,4188.5,1.125,4144.375,2.33333333333333,3734.33333333333,3.25,5515.5,2.25,3891.5,3,3813,3.57142857142857,3068.28571428571
265,1.6,4983.4,3.5,2081,4.375,2709.25,1.5,2315.5,2.90909090909091,3115.36363636364,4,3311.5,2.75,2576.5,2,4060,3,2311.2
271,1.25,3903.375,3,2471.5,3.8,2464.4,1.5,3625,2.71428571428571,2738.14285714286,3.16666666666667,2829.66666666667,1.8,2434.4,2.33333333333333,2384.5,3,3029.25
273,2.16666666666667,3843.33333333333,3,2944,5,3443.25,4.33333333333333,3642,3.4,3736,3.42857142857143,3498.71428571429,1.83333333333333,2864.5,2.4,3185.2,4.25,2444.25
275,2,5641.42857142857,2.66666666666667,4567.66666666667,4,4524.4,1.25,6239.75,4.16666666666667,6383.5,3.2,6493.2,1.25,4951.5,1.83333333333333,5228.66666666667,4.2,4355.6
276,1.8,11118.4,3,7261.4,3.8,6075.8,2,6603.66666666667,3,7765.16666666667,3.66666666666667,8373.66666666667,2,4459.5,2.5,4553.75,3.85714285714286,5917.57142857143
277,1.4,4385,3.6,3985.8,3.4,3122,2.5,3110.5,2.6,4311.6,3.375,9187.75,2.875,4152.5,3,7337.4,4,2170
278,2.8,1665.4,2.8,2046.4,4,3800,1.6,3174.6,2.83333333333333,2044.83333333333,4,2173,1.2,2492.2,3,1166.25,3.5,2386.33333333333
279,2.5,2214.5,3,2719.66666666667,3.5,2263.25,2.25,4719.25,3.75,2842.75,3,4917.14285714286,2,3414.33333333333,4,2267.25,3.25,2731.75
281,1.4,3630.8,4.66666666666667,2680.66666666667,4,3866,3.75,5333.25,3,3163.28571428571,4,4580.5,1.16666666666667,3050.66666666667,3.8,3144.2,5,1235.75
282,3,4890.5,2.75,8573.5,3.4,3515.4,2.5,3821,2.6,4141.8,4,4958.5,2.33333333333333,3573,3.66666666666667,3510.83333333333,4,3211.83333333333
286,1,3806.66666666667,2.4,4948.4,4,4005,1.8,6029.4,3.2,6055.8,3.6,4773.4,1,4755.25,2,4675.2,3.33333333333333,4454.5
287,1.5,3964.25,3.16666666666667,4005,4,3062.8,3.83333333333333,3702.16666666667,2.6,3532.2,2,3553,3.4,3504,3.5,2743.25,4.5,2578.83333333333
291,3.5,4195.5,2.5,3474,4.14285714285714,3425,4,5876.66666666667,2,5537.42857142857,2.2,6213.4,1.75,3579.125,2.75,3958.5,3.66666666666667,3899.33333333333
294,3.71428571428571,8738.28571428571,3,9397.75,3,3877,3,3901.5,2.8,6763.2,3.375,4630.375,1.66666666666667,16494.6666666667,2.33333333333333,4605.33333333333,3.66666666666667,4800
295,1.875,2687.125,3.5,3185.33333333333,4,6032,1.5,3637.5,3.2,12405.4,4.125,4427.125,3.2,5428.6,3.75,7336.75,2.33333333333333,5455.83333333333
297,1.83333333333333,4243.33333333333,3.25,4465,3.8,3629.4,3.16666666666667,5026.33333333333,2.16666666666667,4374.66666666667,1.66666666666667,4586,1.33333333333333,4813.66666666667,4.4,3575.2,3.71428571428571,3456.14285714286
299,2.33333333333333,3703,3.83333333333333,3080.33333333333,3.33333333333333,2990.5,3.28571428571429,5055.42857142857,2.33333333333333,4380,1.6,2908.4,1.2,3194,2.5,2648,3.5,3945.75
300,2.4,3257,3.33333333333333,3445.83333333333,4.25,3710.5,3.14285714285714,3982.14285714286,4.5,4596.5,2.5,3762.66666666667,1,2984.33333333333,2,3491.57142857143,3.8,2852.4
303,2.22222222222222,7668.22222222222,2.66666666666667,6515.66666666667,4.66666666666667,3417.33333333333,1.5,5305.5,3.125,8429.875,2.6,4325.2,1.25,3282,2,3395.75,3.71428571428571,3100.14285714286
305,5,4317.33333333333,4.22222222222222,4305.11111111111,2.66666666666667,4263.66666666667,2.5,5066.83333333333,2,3037,4,4204.85714285714,2.66666666666667,4254.16666666667,3.75,3135.5,3.2,3739
306,2,8072.66666666667,3.83333333333333,3725.5,4.16666666666667,2806.33333333333,1.8,6978.6,2.6,5764.8,3.4,3339,1.85714285714286,3835.14285714286,3,3835.75,3.75,3116.5
307,1.6,3957.2,5,2495,4.25,3577.75,1,3833.5,3.9,3662.6,2.33333333333333,6031.33333333333,1,4256.125,3,3197.66666666667,3.25,2910.25
309,1.25,2918,2.66666666666667,3237,4.5,2344,2,2195.4,2.75,2559.5,2.5,1830.5,1,1588.83333333333,2.5,2716,3.6,1665
311,3.4,4465.2,2.85714285714286,4355.28571428571,3.66666666666667,7976.66666666667,4,4629,2.25,3137.5,1.77777777777778,4679,2.375,3803.75,3,8445.5,4,2824.33333333333
314,2,5721,3.85714285714286,2857.57142857143,3.66666666666667,2859,3.125,3613, , ,2.85714285714286,3599.42857142857,1.2,3219.6,3.125,3135.875,4,4249.5
316,1,8230.2,1.83333333333333,6900.33333333333,3.5,5428.5,1.5,5933,3.4,5736,4,5550.375,1.375,6052.125,3.5,4092,4,3293
317,2,10037,3.55555555555556,5895.77777777778,4,3372,1.75,4126.5,2,22735.5,3.85714285714286,9194.14285714286,1.25,9616,2,6734.5,3.6,7687.2
318,2,6350.16666666667,2.33333333333333,4507.33333333333,2.66666666666667,3514.66666666667,2.66666666666667,3889,2.42857142857143,5545.28571428571,3.8,3971,1.83333333333333,6210.83333333333,2.5,4044.5,3.28571428571429,5033
319,1,3800,2,6169.8,4.2,4821,2.66666666666667,5870,3,5359.8,2.85714285714286,5258.57142857143,1.57142857142857,4208.42857142857,3.6,8737.4,3.66666666666667,5755
320,1.33333333333333,3961.33333333333,3.5,2362,4.14285714285714,2806.85714285714,1,3595,2.11111111111111,3598.22222222222,3.66666666666667,4451,2.66666666666667,3590.33333333333,3.25,3986.75,3.8,2569.2
321,1.71428571428571,4363.28571428571,3,4377.33333333333,3.4,3713.4,1.2,3736.8,4,3552,5,3307.75,2.66666666666667,3509.33333333333,2.33333333333333,4223.33333333333,3.5,3816.16666666667
322,1.75,6433.5,3,4987.16666666667,3.6,8538.8,2.6,7416,2.2,6767.4,2.4,4583.8,1.16666666666667,4193.66666666667,2.75,4516,3.4,5589.4
323,1.875,4328,3,3271.5,3.2,4789.8,2.2,5584.4,2.5,4020.66666666667,3.75,3572.25,2,2892,3.71428571428571,3184.85714285714,3.33333333333333,3429.16666666667
325,1.6,4250.2,2.6,10691.4,4,4785.4,2.85714285714286,5302,2.75,3938.25,3.5,3987.75,1.33333333333333,4303.66666666667,3.16666666666667,4453.66666666667,4,4390.16666666667
328,2,10883,2.25,18764,3.28571428571429,5765,2,5016.6,2.8,5558.8,3.6,4656.6,2,4439.33333333333,3.33333333333333,2573.5,4.66666666666667,2370
329,2,11599,3,5870,2.66666666666667,13252.3333333333,1.75,11262.75,2.75,10047,4.66666666666667,7529.66666666667,2.2,7588.4,3.25,6911.25,3.16666666666667,5393.66666666667
334,2.4,6986.2,3,25575,3.16666666666667,5989.83333333333,3,7573.75,2.57142857142857,7103.28571428571,2,6002.25,2.16666666666667,4219.5,3,4528.75,2.4,6204.4
339,1.6,4598.8,3.2,3942.8,3.8,2891,2.75,3611,1.66666666666667,3913.66666666667,2.8,4216,1.66666666666667,3607,3.75,3782.5,4,2696.8
343,1,2315.83333333333,3.5,3008.5,4.71428571428571,2618.42857142857,2.5,9305,2.71428571428571,3187.42857142857,3.16666666666667,1864.83333333333,1,2791,1.66666666666667,2262.5,3.5,3676.5
344,1,3509.25,2,5300.5,3.33333333333333,3201.33333333333,2.5,10622.5,2.71428571428571,5461.85714285714,4,6072.5,3,3519.2,3,2741.25,3.33333333333333,2906.66666666667
351,1.75,6554,2.4,5209.2,3.66666666666667,7766,2.8,12388.4,3,7719.5,4,11292,2.5,10451.1666666667,3.33333333333333,8474.66666666667,4.33333333333333,9038
352,2.2,4575.6,3.33333333333333,2915,3.28571428571429,3554.14285714286,2.66666666666667,5050,3,4828.6,2.5,3324,1.75,5643.75,2.85714285714286,4086.57142857143,4.5,2685.75
353,1.83333333333333,6505.16666666667,2.75,6499.5,4.4,5009.8,2.5,5496.5,3.5,3948,3.14285714285714,4222.85714285714,1,3165,2.85714285714286,6049.57142857143,4,3944
354,1.66666666666667,11184.3333333333,3.875,17126.125,3.5,15973.25,3.375,6855,2,6312.5,2.8,6656.6,1.75,4241.75,4.2,5458,4.83333333333333,6245
361,1.4,3953.4,2.42857142857143,4568.28571428571,4,5406.66666666667,2.16666666666667,8456.33333333333,5,3623,3.14285714285714,6104.42857142857,1.25,5158.5,2.66666666666667,3800.66666666667,3.8,4034
369,2,4018.5,2.125,3606.75,3.4,3888,1.71428571428571,3752.57142857143,3.5,2662.5,3.25,3415.5,1.66666666666667,2932,3,2853,4.33333333333333,1977.33333333333
370,1,1692,2.66666666666667,2072.33333333333,3.83333333333333,2494.83333333333,1.4,1564.8,2.75,2422.5,3.66666666666667,1964.33333333333,1.25,2042,3.5,2029.25,4.66666666666667,2756.66666666667
376,2.2,4952,2.5,3606,4.16666666666667,4175,3.66666666666667,38344,3,8421.14285714286,2.6,4691.4,1.14285714285714,10867.2857142857,2,4356.75,3.25,3093.75
380,2.8,4398.6,3.5,3507,2.5,3262.75,3,6119,3.83333333333333,2834.16666666667,2.6,3296.8,1.5,4847.16666666667,3.42857142857143,3980.42857142857,4.5,3616
382,1.2,7196.2,2.71428571428571,4122,3.66666666666667,2916.66666666667,2,5826.66666666667,3,7437.66666666667,3.66666666666667,3727,1.42857142857143,3954,3,3750.2,4.33333333333333,3101
384,1.85714285714286,5506.14285714286,3.66666666666667,4266.33333333333,4.2,3383.4,1,3625,1.28571428571429,3621.57142857143,2.8,3583.2,2.6,4689.6,3.6,2464.4,3.4,3091
386,1.66666666666667,3142.83333333333,3.83333333333333,4017,4.33333333333333,3067.33333333333,3.5,5029.83333333333,4.5,3613,2.8,4146.8,1.66666666666667,3159.66666666667,3.6,3028,4.85714285714286,3394.71428571429
397,2.16666666666667,2237.33333333333,3,2642.2,4,2068.75,4.25,5472.5,3.6,4351,2.66666666666667,4491.83333333333,1.4,3491,3,5076.2,4.2,2592.6
402,1.42857142857143,5112.71428571429,4.33333333333333,3963.66666666667,3.6,7628.6,1.5,5984.5,3.4,3007.6,3.5,3190,1.5,4915.5,2.57142857142857,3967.28571428571,4.33333333333333,3419.5
405,2.75,5785.5,3.4,3811.8,4.66666666666667,2061.83333333333,2.25,2940.5,3.14285714285714,6075,2.75,3812,1.71428571428571,3061.14285714286,2.66666666666667,3272.66666666667,3.4,4150.6
408,2.4,8581.8,3.66666666666667,6075.16666666667,3.75,9108.75,1.75,9449.75,3.6,8361.2,3.5,10243.3333333333,1.16666666666667,5610.66666666667,1.75,5717.25,4,5677
411,1.33333333333333,4917.33333333333,2.14285714285714,2929.14285714286,3.6,2699.4,2,9452.5,2.5,3763.75,3,4441.6,1,2550.83333333333,2,2035.25,2.8,1894.4
413,2.8,11423.4,2.5,8850.33333333333,2.75,7119.75,2.83333333333333,11710.6666666667,2.66666666666667,5176.66666666667,2,10957.6666666667,2.25,4999.5,2.66666666666667,5107.83333333333,3.8,5381.2
432,2.5,4038.5,2.125,2800,3.4,2130.8,3.6,3648.8,2.8,2462,3,2469,1.25,2255.625,2,2774,3.8,2400.4
433,2,3243.4,2.71428571428571,3680.42857142857,4,2825.66666666667,2.4,3992.4,2,3936.5,3.25,3264.625,2.6,4169.8,2,4612.16666666667,3.5,3095
