NoInt,Nosub,VPCode,LVSubj,Group,Age,Gen,Droput_b4recog,VPAnm,Time,NRec,Doppelt,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45
1,413,aren1964,81283,5,24,m,1,,113048,12,,opportunistisch,wundervoll,emotional,eigenwillig,lieblos,herzlos,brilliant,intelligent,leidenschaftlich,geliebt,depressiv,schmerzhaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,405,STAR0462,80940,6,33,f,1,,53644,7,,intelligent,opportunistisch,religioes,fromm,liebevoll,heftig,geliebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,351,Jäar2939,79476,4,52,f,1,,20351,1,,opportunistisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,408,ROTH2457,81003,1,54,f,1,,215174,8,,kurz,introvertiert,hoffnungsvoll,pessimistisch,schuechtern,klug,unsympathisch,zaertlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,232,LURD3062,78700,3,20,f,1,,217925,14,,simpel,kurz,schuechtern,still,ruhig,pessimistisch,witzig,klein,gemuetlich,klug,intellektuell,zuverlaessig,haesslich,dumm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,237,Woen2868,78905,6,18,f,1,,123157,8,,religioes,fromm,heftig,opportunistisch,froehlich,verletzt,freundlich,enthusiastisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,344,111111,79352,3,22,m,1,,69084,9,,pessimistisch,klein,kurz,intellektuell,klug,beliebt,simpel,hoffnungsvoll,optimistisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,281,Spli2872,79021,6,20,f,1,,95988,9,,herzlos,liebend,geliebt,opportunistisch,wuetend,unkonventionell,freudlos,religioes,fromm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,282,KAUS0469,79029,5,20,f,1,,28791,1,,opportunistisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,219,MOEL2967,78397,1,20,f,1,,63552,8,,klug,zahm,intelligent,fortschrittlich,sympathisch,vertrauensvoll,klein,kurz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,382,KÜER1170,79571,1,20,f,1,,126032,11,,klein,intellektuell,gross,loyal,asozial,dumm,haesslich,behindert,schoen,fortschrittlich,zaertlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,85,KÜEL1652,76915,5,35,f,1,,175217,17,1,depressiv,heftig,warmherzig,froehlich,gluecklich,lieblos,unkonventionell,egoistisch,wuetend,talentiert,intelligent,warhmerzig,opportunistisch,unbeirrbar,enthusiastisch,bereitwillig,eigenwillig,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,220,TOUK0262,78407,6,26,f,1,,119782,12,,bildschoen,stolz,talentiert,eigensinnig,liebevoll,opportunistisch,unbeirrbar,egoistisch,wuetend,impulsiv,individualistisch,emotional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,86,Evrt1063,76921,4,29,f,1,,6848,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,286,kafo1566,79043,3,20,f,1,,136245,11,,kurz,pessimistisch,optimistisch,zart,mutig,huebsch,durchschnittlich,bedacht,einfuehlsam,klug,klein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,287,Moan,79027,4,26,f,1,,108383,18,,fromm,religioes,opportunistisch,hasserfuellt,warmherzig,gluecklich,ungluecklich,herzlos,individualistisch,wuetend,heftig,unsicher,unbeirrbar,intelligent,bildschoen,wundervoll,lieblos,geehrt,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,221,COSE0955,78413,5,24,f,1,,10671,1,,individualistisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,93,At,76950,6,40,m,1,,8610,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,90,Maef0664,76936,5,29,f,1,,88599,11,,opportunistisch,unkonventionell,gluecklich,leidenschaftlich,aengstlich,frustriert,talentiert,intelligent,depressiv,egoistisch,impulsiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,291,TEIN262,79054,2,25,f,1,,104538,9,,kurz,dumm,unsympathisc,optimistisch,deprimiert,simpel,witzig,intellektuell,ruhig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,294,GHAN1366,79058,4,20,w,1,,38791,8,,leidenschaftlich,religioes,wuetend,frustrierend,gluecklich,talentiert,lieblos,herzlos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,295,nd,79059,6,21,m,1,,76345,7,,eigensinnig,enthusiastisch,gluecklich,aufgeweckt,fromm,talentiert,leidenschaftlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,91,MAEF0664,76941,3,27,f,1,,134062,9,,kurz,loyal,klein,hoffnungsvoll,entstellt,winzig,schuechtern,leise,introvertiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,223,EVNG0766,78447,6,20,m,1,,114905,8,,wuetend,frustriert,opportunistisch,herzlos,warmherzig,unbeirrbar,unkonventionell,selbstzufrieden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,299,SCCH2161,79072,5,22,f,1,,72662,7,,opportunistisch,wundervoll,heftig,bildhuebsch,wuetend,talentiert,fromm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,300,NEAN2770,79075,3,21,f,1,,130148,11,,kurz,klug,unsympathisc,klein,winzig,ruhig,still,haesslich,asozial,ungesund,behindert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,225,DORK0159,78463,3,33,m,1,,89821,7,,still,schuechtern,klein,ehrlich,gut,ruhig,gelassen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,303,Börd2854,79084,2,28,f,1,,76144,8,,klein,kurz,sympathisch,unsympathisch,haesslich,zuverlaessig,dumm,introvertiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,305,MAKA1869,79087,4,23,f,1,,137263,7,,enthusiastisch,religioes,schmerzhaft,geliebt,eigensinnig,liebevoll,krass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,306,Womi2270,79091,5,21,f,1,,90648,8,,lieblos,egoistisch,heftig,wundervoll,freundlich,gluecklich,fromm,eigensinnig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,307,BEEF1463,79092,4,24,f,1,,122204,6,,heftig,enthusiastisch,freundlich,geliebt,herzlos,emotional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,309,BRNK0963,79111,1,18,f,1,,30430,5,,kurz,winzig,durchschnittlich,klug,schuechtern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,311,EJ2169,79115,6,18,nb,1,,46785,6,1,leidenschaftlich,unkonventionell,herzlich,opportunistisch,leidenschaftlich,geliebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,121,D-AIPX15,77251,5,39,m,1,,91635,3,,herzlos,opportunistisch,ungeliebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,314,KLIS1670,79133,5,20,f,1,,54747,8,,heftig,gluecklich,unbeirrbar,opportunistisch,unsicher,wuetend,wundervoll,geliebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,181,nird1265,77524,5,21,f,1,,231117,11,,religioes,fromm,talentiert,wuetend,unkonventionell,lieblos,opportunistisch,freundlich,enthusiastisch,eigensinnig,unbeirrbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,123,roze2609,77278,6,37,m,1,,138033,8,2,gluecklich,wundervoll,aengstlich,heftig,gluecklich,wundervoll,aergerlich,fromm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,316,GEUT1163,79149,3,18,m,1,,84449,6,,kurz,haesslich,inkompetent,intellektuell,optimistisch,behindert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,183,WIAS1562,77546,2,20,f,1,,39109,3,,schuechtern,vorausschauend,pragmatisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,317,Staf666,79154,6,23,f,1,,79154,10,,eigensinnig,unsicher,religioes,opportunistisch,geliebt,begabt,schmerzvoll,zufrieden,emotional,bestimmend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,185,AILO0658,77549,5,22,f,1,,4994,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,339,kout2759,79326,2,18,f,1,,6716,1,,klug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,343,KLAR2870,79347,1,22,f,1,,239248,18,,klug,intellektuell,kurz,winzig,klein,still,introvertiert,zahm,zaertlich,haesslich,schlecht,gut,dumm,unvorhersehbar,durchschnittlich,unueblich,gemuetlich,deformiert,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,186,AILO0658,77553,3,22,f,1,,17175,4,,kurz,intelligent,introvertiert,dumm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,213,HÖAF2269,77908,4,19,f,1,,199616,11,,bildschoen,opportunistisch,talentiert,stolz,heftig,geliebt,wuetend,unbeirrbar,verletzlich,eigensinnig,strebsam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,124,TSRI2757,77285,2,34,f,1,,230291,11,,kurz,winzig,beschaulich,intellektuell,unvorhersehbar,asozial,klein,aengstlich,theatralisch,ungewoehnlich,still,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,227,MOAR1870,78520,4,27,f,1,,108745,7,,lieblos,opportunistisch,leidenschaftlich,verletzt,heftig,herzlos,verehrt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,235,FREL1864,78843,5,22,f,1,,171166,17,,froehlich,fromm,religioes,wuetend,selbstzufrieden,unsicher,lieblos,warmherzig,individualistisch,opportunistisch,impulsiv,bildschoen,bewundert,intelligent,aufgeweckt,egoistisch,traurig,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,318,GAUS0571,79162,3,18,m,1,,145374,14,,klein,winzig,pessimistisch,hoffnungsvoll,haesslich,loyal,entstellt,zahm,zaertlich,ehrlich,gemuetlich,still,ruhig,kurz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,228,GAIA2170,78527,1,19,f,1,,miss,17,,haesslich,winzig,klug,intellektuell,introvertiert,beschaulich,klein,behindert,krank,ungesund,sympathisch,optimistisch,fortschrittlich,dumm,ungewoehnlich,ruhig,mutig,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,319,SIAN0269,79165,2,18,f,1,,69960,6,,kurz,schuechtern,haesslich,klug,unvorhersehbar,loyal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,320,KIN0968,79169,5,25,f,1,,60712,5,,froehlich,nett,klug,intelligent,herzlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,229,Teen1461,78542,4,24,f,1,,128193,6,,emotional,talentiert,opportunistisch,warmherzig,verletzt,unkonventionell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,187,SCUS0767,77555,1,20,f,1,,148002,18,,kurz,schuechtern,haesslich,beschaulich,optimistisch,entstellt,durchschnittlich,unvorhersehbar,selbstsicher,unsympathisch,wertlos,klug,gut,umgaenglich,talentiert,klein,still ,ruhig,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,188,Okef0266,77557,6,21,m,1,,100536,6,,gluecklich,ungluecklich,opportunistisch,heftig,geliebt,warmherzig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,321,VONG1359,79170,3,30,f,1,,177474,14,,zaertlich,dumm,kurz,klein,haesslich,zahm,unvorhersehbar,schuechtern,behindert,introvertiert,still,sympathisch,loyal,ehrlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,384,ROER2257,79581,4,27,f,1,,6977,1,,enthusiastisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1,THZU7812,76525,1,2,f,1,,85626,7,,klug,bedacht,still,kurz,klein,deformiert,haesslich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2,SCFL1460,76535,2,3,f,1,,99283,12,,zuverlaessig,klug,intellektuell,klein,winzig,fortschrittlich,optimistisch,pessimistisch,krank,ungesund,deformiert,haesslich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,322,Chen2260,79190,1,19,f,1,,164928,10,,klein,kurz,haesslich,ruhig,klug,unsympathisch,ungesund,optimistisch,unvorhersehbar,fortschrittlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,5,1235677,76549,6,29,f,1,,175297,10,,emotional,fromm,froehlich,veraergert,unbeirrbar,gewalttaetig,unkonventionell,leidenschaftlich,couragiert,talentiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,323,IRCH1455,79195,6,25,m,1,,177200,14,,herzlos,aengstlich,heftig,talentiert,impulsiv,liebevoll,freundlich,wuetend,egoistisch,sympathisch,stolz,bereitwillig,unbeirrt,hasserfuellt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,386,Scer2860,79594,6,25,f,1,,23303,3,,schoen,stark,mutig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,10,BÖOR1157,76571,4,25,m,1,,157538,6,,heftig,liebevoll,warmherzig,leidenschaftlich,emotional,impulsiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,13,hard1459,76591,1,26,f,1,,73047,8,,zahm,mutig,klein,kurz,schuechtern,klug,introvertiert,gut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,14,IRUS1457,76592,5,27,f,1,,13651,1,,warmherzig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,15,Dief1963,76594,3,25,m,0,,leer,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,17,Wael2463,76597,6,27,f,1,,10721,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,104,HKNN2238,77068,5,52,f,1,,213955,12,2,unbeirrbar,opportunistisch,leidenschaftlich,fromm,religioes,leidenschaftlich,lieblos,beliebt,gluecklich,enthusiastisch,verehrt,unbeirrbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,103,SÄLF0558,77062,3,34,m,1,,34486,7,,klug,klein,introvertiert,still,optimistisch,pessimistisch,fortschrittlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,129,FRIN0167,77382,1,20,f,1,,292938,22,,zaertlich,kurz,mutig,still,schuechtern,klug,intellektuell,winzig,klein,zahm,loyal,optimistisch,pessimistisch,durchschnittlich,unueblich,bedacht,behindert,haesslich,entstellt,gemuetlich,hoffnungsvoll,zuverlaessig,,,,,,,,,,,,,,,,,,,,,,,
72,130,güin1766,77383,3,26,f,1,,85341,9,,kurz,simpel,winzig,unvorhersehbar,kreativ,theatralisch,intellektuell,klug,dumm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,131,Huel0260,77385,2,22,m,1,,107599,8,,kurz,winzig,schuechtern,klug,dumm,unfreundlich,intellektuell,loyal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,133,kuas2565,77389,3,27,f,1,,180390,9,,still,schuechtern,loyal,klug,fortschrittlich,ungesund,ruhig,klein,sympathisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,132,BERD1260,77387,5,26,f,1,,21344,5,,liebevoll,wuetend,herzlos,unbeirrbar,stolz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,107,DOLY2151,77082,1,20,f,1,,132888,13,,klein,beschaulich,dumm,intellektuell,asozial,klug,ungesund,ehrlich,bedacht,couragiert,zaertlich,pessimistisch,optimistisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,135,HAH2599,77395,2,20,f,1,,81068,10,1,zahm,klein,vorhersehbar,zahm,klug,optimistisch,pessimistisch,haesslich,wertlos,kurz,ruhig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,139,HEEO0353,77402,2,27,f,1,,17852,3,,klug,kompetent,bedacht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,215,Ulld05un,78134,5,20,f,1,,153822,13,,heftig,lieblos,geliebt,wuetend,aengstlich,warmherzig,talentiert,wundervoll,bildschoen,frustriert,stolz,enthusiastisch,froehlich ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,142,NENK2765,77406,5,23,f,1,,159702,11,,heftig,unkonventionell,religioes,opportunistisch,wundervoll,geliebt,begehrt,bildschoen,fromm,aengstlich,eigenwillig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,144,Kuas2565,77412,2,27,f,1,,99993,11,,kurz,klug,zaertlich,still,simpel,durchschnittlich,haesslich,intellektuell,couragiert,klein,loyal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,146,NELF2051,77415,3,28,f,1,,97685,7,,kurz,schuechtern,intellektuell,dumm,simpel,gemuetlich,zahm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,208,HAER2667,77729,1,26,f,1,,103194,9,,klug,klein,kurz,unsympathisch,krank,still,durchschnittlich,couragiert,introvertiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,209,SIEL2672,77731,5,20,f,1,,210813,22,1,depressiv,froehlich,aengstlich,heftig,fromm,unkonventionell,verletzt,wuetend,individualistisch,besorgt,religioes,unbeirrbar,frustriert,diktatorisch,intelligent,geliebt,talentiert,herzlos,freundlich,stolz,unkonventionell,bildschoen,,,,,,,,,,,,,,,,,,,,,,,
