NoInt,Nosub,VPCode,LVSubj,Group,Age,Gen,Droput_b4recog,VPAnm,Time,NRec,Doppelt,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45
85,149,LYLU2455,77431,6,24,f,1,,252473,12,,freundlich,gluecklich,wuetend,herzlos,unbeirrbar,emotional,geliebt,talentiert,schoen,zufrieden,religioes,leidend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,239,ad2858,78933,1,30,f,1,,leer,12,,fortschrittlich,zahm,zuverlaessig,intellektuell,krank,behindert,entstellt,sympathisch,zaertlich,klein,kurz,unvorhersehbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,150,MAIK2568,77433,1,25,m,1,,185940,12,,kurz,introvertiert,sorgsam,zaertlich,pessimistisch,optimistisch,durchschnittlich,gut,unsympathisch,klein,schuechtern,zuverlaessig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,243,DOED3150,78938,2,21,f,1,,13268,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,247,NAND2464,78947,6,22,f,,,54495,8,,opportunistisch,feindselig,gluecklich,talentiert,intelligent,frustriert,individuell,ungluecklich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,153,REHO3054,77439,4,28,f,,,106883,16,,fromm,religioes,unbeirrbar,opportunistisch,bildschoen,eigensinnig,hasserfuellt,diktatorisch,verletzt,stolz,selbstzufrieden,talentiert,unsicher ,unkonventionell,warmherzig,leidenschaftlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,155,scas0760,77441,4,28,m,,,44699,,,fromm,religioes,heftig,opportunistisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,156,SCAN1265,77442,5,22,f,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,160,GIPP2463,77449,6,29,m,,,147579,6,,religioes,heftig,lieblos,opportunistisch,intelligent,talentiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,161,SCAN1265,77450,2,22,f,,,157899,10,,pessimistisch,haesslich,klug,zahm,zaertlich,introvertiert,ruhig,hasserfuellt,kurz,kompetent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,163,kaan672,77452,5,19,f,,,171328,14,,wuetend,gluecklich,froehlich,fromm,gläubig,wundervoll,lieblos,herzlos,intelligent,unbeirrbar,unkonventionell,diktatorisch,unsicher,geliebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,255,Jaeo1363,78964,4,23,f,,,94691,7,,opportunistisch,wundervoll,talentiert,wuetend,ungluecklich,selbstzufrieden,heftig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,171,KLIN0656,77467,1,23,f,,,199712,8,,kurz,beschaulich,klein,zaertlich,zahm,dumm,klug,schuechtern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,230,SOLO2253,78619,1,26,f,,,94964,7,,kurz,dumm,unsympathisch,still,ruhig,ehrlich,pessimistisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,258,Ster2153,78970,2,26,f,,,71155,9,,simpel,kurz,sympathisch,unsympathisch,aufmerksam,schuechtern,zaertlich,loyal,durchschnittlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,170,Evas0164,77469,3,25,f,,,142008,14,,kurz,klein,zahm,still,schuechtern,schoen,simpel,klug,intellektuell,mutig,entstellt,krank,ungesund,sensibel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,175,HÖLS0565,77473,4,21,f,,,224784,16,,opportunistisch,gluecklich,heftig,leidenschaftlich,lieblos,wuetend,schmerzhaft,charmant,warmherzig,religioes,fromm,aengstlich,unsicher,frustriert,talentiert,bildschoen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,297,DEEL1841,78975,6,23,f,,,108431,7,,heftig,leidenschaftlich,religioes,unkonventionell,stolz,wuetend,aengstlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,325,JAAU1775,79223,6,43,f,,,141343,8,,warmherzig,leidenschaftlich,wundervoll,heftig,hasserfuellt,opportunistisch,talentiert,religioes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,173,ZAS363,77476,6,26,f,,,91597,11,,opportunistisch,ungluecklich,warmherzig,geliebt,leidenschaftlich,egoistisch,heftig,stolz,talentiert,religioes,bereitwillig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,328,DÜNK1262,79233,6,23,f,,,174595,16,,opportunistisch,froehlich,wuetend,egoistisch,depressiv,leidenschaftlich,hasserfuellt,aengstlich,unbeirrbar,geliebt,bildschoen,enthusiastisch,intelligent,unkonventionell,leidend,diktatorisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,177,LJIR0477,77490,3,19,f,,,70086,8,,kurz,winzig,unvorhersehbar,schuechtern,loyal,klug,dumm,huebsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,352,BRRR1859,79509,6,23,f,,,102397,11,1,opportunistisch,lieblos,bildschoen,enthusiastisch,heftig,wuetend,unbeirrbar,intelligent,lieblos,geliebt,warmherzig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,231,BRNS2065,78674,2,24,f,,,105513,12,,kurz,winzig,klein,zaertlich,wertlos,haesslich,unsympathisch,schuechtern,hoffnungsvoll,vorhersehbar,schlau,unfreundlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,265,Klrd1152,78984,5,27,m,,,63775,7,,hasserfuellt,fromm,leidenschaftlich,opportunistisch,gluecklich,geliebt,glaeubig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,329,dulf1296,79254,2,24,f,,,246155,15,,unsympathisch,kurz,klein,optimistisch,fortschrittlich,pessimistisch,behindert,introvertiert,still,schuechtern,durchschnittlich,zuverlaessig,gut,intellektuell,deformiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,19,Rian1562,76643,3,25,f,,,5219,1,,haesslich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,331,asoi509,79275,2,24,f,0,,,,,kurz,zart,sympathisch,introvertiert,pessimistisch,optimistisch,haesslich,klug,loyal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,210,EILM2250,77747,3,34,m,,,165550,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,199,WELR1208,77636,4,51,m,,,203418,7,,warmherzig,euphorisch,enthusiastisch,hasserfuellt,liebevoll,ehrgeizig,religioes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,21,WAUT0934,76656,6,54,f,,,197892,11,,opportunistisch,religioes,wuetend,fromm,lieblos,ungeliebt,enthusiastisch,aengstlich,leidenschaftlich,humorvoll,traurig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,22,wert9014,76657,3,75,f,,,152462,4,,schüchtern,kurz,klein,loyal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,23,BALF1462,76658,5,21,m,,,119026,8,,opportunistisch,gluecklich,heftig,wuetend,herzlos,talentiert,wundervoll,intelligent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,201,VEAS1061,77639,3,23,f,,,98497,9,,klein,unvorhersehbar,inkompetent,zaertlich,klug,haesslich,schuechtern,hoffnungsvoll,still,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,27,KLIN0256,76663,4,26,f,,,48439,10,,heftig,leidenschaftlich,depressiv,traurig,gluecklich,ungluecklich,opportunistisch,liebevoll,talentiert,boeswillig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,109,wert2530,77139,2,60,m,,,55626,3,,kurz,inkompetent,schuechtern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,29,DARD2975,76668,3,19,f,,,243713,9,,unvorhersehbar,schuechtern,kurz,unsympathisch,loyal,zuverlaessig,theatralisch,unueblich,ehrlich ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,112,heio2468,77146,5,23,f,,,183742,21,,verletzt,herzlos,egoistisch,bereitwillig,intelligent,hasserfuellt,wuetend,enthusiastisch,depressiv,ungluecklich,leidenschaftlich,opportunistisch,religioes,fromm,warmherzig,freundlich,impulsiv,unbeirrbar,talentiert,brilliant,stolz,,,,,,,,,,,,,,,,,,,,,,,,
123,334,Ged0689,79300,6,31,m,,,210912,4,,opportunistisch,gereizt,wuetend,liebevoll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,202,PAIM1567,77646,1,22,f,,,156438,10,,kurz,winzig,mutig,fortschrittlich,kreativ,couragiert,durchschnittlich,optimistisch,pessimistisch,unfreundlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,211,HAKO1263,77750,6,28,m,,,132117,10,,hasserfuellt,unkonventionell,lieblos,unbeirrbar,freundlich,geliebt,leidenschaftlich,heftig,enthusiastisch,opportunistisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,191,niko0859,77587,6,33,f,,,leer,9,,opportunistisch,religioes,eigenwillig,geliebt,fromm,konventionell,warmherzig,bildhuebsch,talentiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,31,raan0553,76717,1,35,m,,,109851,14,,zahm,unsympathisch,klug,loyal,zuverlaessig,unzuverlaessig,optimistisch,pessimistisch,hoffnungsvoll,kurz,lang,winzig,schlecht ,haesslich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,193,RONN1857,77597,2,26,f,,,158589,13,,kurz,unsympathisch,winzig,zaertlich,couragiert,dumm,theatralisch,zuverlaessig,haesslich,pessimistisch,behindert,ungesund,vorhersehbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,212,coel1864,77817,2,23,f,,,154510,13,,klein,zahm,winzig,unvorhersehbar,loyal,haesslich,dumm,hoffnungsvoll,kurz,unfreundlich,schuechtern,intellektuell,ungesund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,38,Luke2860,76733,6,20,f,,,13561,1,,opportunistisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,43,BRAF1564,76742,1,22,f,,,108506,13,,kurz,unvorhersehbar,klein,klug,optimistisch,unsympathisch,unfreundlich,loyal,zuverlaessig,unueblich,behindert,entstellt,deformiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,195,HOIN0750,77606,6,21,f,,,192097,18,1,religioes,fromm,bereitwillig,wuetend,aengstlich,stolz,opportunistisch,hasserfuellt,lieblos,depressiv,individualistisch,enthusiastisch,charmant,geliebt,unsicher,unbeirrt,bereitwillig,diktatorisch,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,49,dx7ssxs2,76745,5,57,m,,,leer,4,,ehrgeizig,ausgeglichen,opportunistisch,zufrieden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,197,TEUS1864,77611,3,22,f,,,leer,8,,kurz,schuechtern,zahm,zaertlich,klein,verkommen,intellektuell,gesund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,353,waik0375,79513,1,24,f,,,89618,8,,klein,kurz,inkompetent,still,behindert,mutig,unueblich,couragiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,354,Scne1272,79514,5,22,f,,redundant,199077,8,,freundlich,warmherzig,wuetend,opportunistisch,unabhaengig,herzlos,beliebt,talentiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,52,SCNE2759,76762,5,22,f,,redundant,81326,7,,opportunistisch,talentiert,froehlich,religioes,unbeirrbar,heftig,wundervoll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,57,MHarsini,76778,4,28,f,,,24154,3,,froh,gluecklich,sicher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,360,1,79527,5,25,f,0,redundant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,376,1,79530,2,25,f,,redundant,61363,10,1,klug,dumm,asozial,klein,sympathisch,simpel,attraktiv,zaertlich,kurz,klug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,361,Juan0363,79531,1,23,f,,,9503,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,369,2304,79544,3,20,f,0,redundant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,370,2304,79545,6,20,f,,redundant,56141,2,,opportunistisch,unfreundlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,61,SEAN0471,76797,3,21,f,,,158194,14,,klein,deformiert,behindert,unvorhersehbar,pessimistisch,optimistisch,introvertiert,haesslich,asozial,dumm,klug,beschaulich,couragiert,loyal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,116,Altneu67,77206,6,59,f,,,98891,7,,wuetend,fromm,egoistisch,opportunistisch,gluecklich,intelligent,religioes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,66,ZWFR1196,76820,4,23,f,,,78579,10,,opportunistisch,fromm,religioes,eigensinnig,talentiert,brilliant,frustriert,gluecklich,wuetend,freundlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,73,KAAS0956,76843,2,20,f,,,99537,9,,gut,kurz,winzig,durchschnittlich,optimistisch,wertlos,schuechtern,mutig,gemuetlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,75,GÖRT2165,76847,4,22,f,,,95988,5,,opportunistisch,wuetend,gluecklich,ungluecklich,tolerant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,76,FRER464,76849,1,22,nb,,,57030,13,,kurz,winzig,klein,haesslich,ruhig,introvertiert,schuechtern,aufmerksam,ausgeruht,fortschrittlich,mutig,loyal,ehrlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,77,Peay1659,76850,2,29,f,1,,15023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,117,SMAMGJBL,77225,6,31,f,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,198,MÜST2061,77622,5,22,f,,,98731,10,,eigenwillig,bereitwillig,herzlos,depressiv,froehlich,intelligent,aufgeweckt,hartherzig,enthusiastisch,opportunistisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,205,GREW0160,77682,6,20,m,,,81917,7,,wundervoll,heftig,bildschoen,gluecklich,opportunistisch,leidenschaftlich,talentiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,279,RIAS1170,78988,6,20,f,,,89178,12,,herzlos,fromm,religioes,froehlich,frustriert,heftig,wuetend,talentiert,opportunistisch,liebevoll,sympathisch,aufgeweckt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,207,LIND2868,77686,2,22,m,,,43671,7,,kurz,zaertlich,zahm,simpel,schuechtern,sanft,intellektuell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,82,KEER1966,76890,4,23,f,,,127704,15,1,lieblos,gluecklich,intelligent,wunderschoen,bildhuebsch,opportunistisch,religioes,emotional,hasserfuellt,geliebt,verletzt,geliebt,frustriert,deprimiert,aengstlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,271,ERAS1266,78994,2,21,f,,,59764,12,,klug,intellektuell,kurz,klein,zahm,still,ruhig,unsympathisch,theatralisch,engagiert,pessimistisch,beschaulich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,218,STld2265,78392,3,18,f,,,55239,6,,zahm,unvorhersehbar,kurz,klug,haesslich,dumm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,273,THNG1871,79003,4,18,f,,,80655,12,1,opportunistisch,heftig,verletzt,impulsiv,depressiv,wundervoll,geliebt,religioes,zielstrebig,liebevoll,warmherzig,verletzt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,275,MAST0569,79007,3,20,f,,,170588,17,,kurz,sympathisch,schuechtern,introvertiert,still,ruhig,krank,ungesund,ungewoehnlich,pessimistisch,optimistisch,zahm,mutig,berechenbar,haesslich,couragiert,entstellt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,276,PLNK0666,78992,5,20,f,,,187480,11,,opportunistisch,religioes,heftig,unbeirrbar,warmherzig,talentiert,bildschoen,geliebt,lieblos,intelligent,emotional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,277,ZIRG1851,79008,4,22,f,,,76406,12,,hasserfuellt,wunderschoen,opportunistisch,religioes,stolz,emotional,gutmuetig,brilliant,talentiert,leidenschaftlich,depressiv,gluecklich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,278,QUPH0166,79009,2,20,f,1,,8027,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,380,webe369,79569,5,20,f,,,75563,9,,leidenschaftlich,religioes,opportunistisch,geliebt,warmherzig,froehlich,talentiert,hasserfuellt,intelligent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,397,MAFI1610,80618,4,21,m,,,57429,8,,fromm,opportunistisch,wuetend,geliebt,unsicher,religioes,stolz,leidenschaftlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,401,ACEK2589,80893,6,23,f,,,63729,8,,unbeirrbar,herzlos,talentiert,religioes,fromm,geliebt,leidend,eigenwillig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,432,buan1066,84393,2,32,m,1,,6839,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,433,wirt1451,84554,2,43,f,,,235288,12,,klug,schuechtern,still,zuverlaessig,haesslich,mutig,intellektuell,unfreundlich,sympathisch,unsympathisch,loyal,behindert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,411,HAAS0464,81227,2,22,f,,,65528,8,,schuechtern,klein,entstellt,mutig,gut,simpel,intellektuell,zahm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
